Dato;Klokkeslæt;Rs-Ring 3;Kindebjergvej;Gl. Landevej;Fabriksparken ;Trafiksituation;
11/16/2007;20:03:59;600;598;599;600;0;
11/16/2007;20:05:00;600;599;599;600;0;
11/16/2007;20:05:57;600;599;600;600;0;
11/16/2007;20:05:59;600;601;600;600;0;
11/16/2007;20:06:59;600;597;600;600;0;
11/16/2007;20:07:57;600;597;599;600;0;
11/16/2007;20:07:59;600;602;599;600;0;
11/16/2007;20:09:00;600;599;599;600;0;
11/16/2007;20:09:01;600;599;599;4799;0;
11/16/2007;20:09:59;600;597;599;4799;0;
11/16/2007;20:10:01;600;597;599;600;0;
11/16/2007;20:10:57;600;597;600;600;0;
11/16/2007;20:10:59;600;600;600;600;0;
11/16/2007;20:11:56;600;600;599;600;0;
11/16/2007;20:12:01;600;600;599;1199;0;
11/16/2007;20:12:56;600;600;600;1199;0;
11/16/2007;20:12:59;600;599;600;1199;0;
11/16/2007;20:13:04;600;599;600;621;0;
11/16/2007;20:13:59;600;598;600;621;0;
11/16/2007;20:14:11;600;598;600;677;0;
11/16/2007;20:14:56;600;598;599;677;0;
11/16/2007;20:15:03;600;637;599;677;0;
11/16/2007;20:15:56;600;637;600;677;0;
11/16/2007;20:16:01;600;579;600;1099;0;
11/16/2007;20:16:56;600;579;598;1099;0;
11/16/2007;20:16:59;600;581;598;1099;0;
11/16/2007;20:17:02;600;581;598;599;0;
11/16/2007;20:17:56;600;581;600;599;0;
11/16/2007;20:18:00;600;600;600;599;0;
11/16/2007;20:18:57;600;600;599;599;0;
11/16/2007;20:18:59;600;599;599;599;0;
11/16/2007;20:20:03;600;636;599;599;0;
11/16/2007;20:20:56;600;636;598;599;0;
11/16/2007;20:20:59;600;562;598;599;0;
11/16/2007;20:21:57;600;562;600;599;0;
11/16/2007;20:21:59;600;599;600;599;0;
11/16/2007;20:22:56;600;599;601;599;0;
11/16/2007;20:23:56;600;599;598;599;0;
11/16/2007;20:24:00;600;600;598;599;0;
11/16/2007;20:24:56;600;600;599;599;0;
11/16/2007;20:24:59;600;599;599;599;0;
11/16/2007;20:25:59;600;598;599;599;0;
11/16/2007;20:26:01;600;598;599;1799;0;
11/16/2007;20:26:59;600;599;599;1799;0;
11/16/2007;20:27:01;600;599;599;600;0;
11/16/2007;20:27:57;600;599;600;600;0;
11/16/2007;20:27:59;600;600;600;600;0;
11/16/2007;20:28:02;600;600;600;599;0;
11/16/2007;20:28:56;600;600;599;599;0;
11/16/2007;20:29:59;600;599;599;599;0;
11/16/2007;20:30:01;600;599;599;600;0;
11/16/2007;20:30:59;600;598;599;600;0;
11/16/2007;20:31:56;600;598;600;600;0;
11/16/2007;20:32:00;600;599;600;600;0;
11/16/2007;20:32:01;600;599;600;1199;0;
11/16/2007;20:32:59;600;600;600;1199;0;
11/16/2007;20:33:02;600;600;600;599;0;
11/16/2007;20:33:56;600;600;599;599;0;
11/16/2007;20:33:59;600;599;599;599;0;
11/16/2007;20:34:59;600;598;599;599;0;
11/16/2007;20:35:59;600;599;599;599;0;
