Date;Time;DoW;Detector;Direction;Detected
13-11-2007;20:45:00;Tue;D3;S;50
13-11-2007;20:45:00;Tue;D4;S;88
13-11-2007;20:45:00;Tue;D13;N;74
13-11-2007;20:45:00;Tue;D14;N;48
13-11-2007;20:45:00;Tue;D5;N;78
13-11-2007;20:45:00;Tue;D6;S;74
13-11-2007;20:45:00;Tue;D7;N;79
13-11-2007;20:45:00;Tue;D8;S;82
13-11-2007;20:45:00;Tue;D15;S;53
13-11-2007;20:45:00;Tue;D18;N;94
13-11-2007;21:00:00;Tue;D3;S;47
13-11-2007;21:00:00;Tue;D4;S;79
13-11-2007;21:00:00;Tue;D13;N;63
13-11-2007;21:00:00;Tue;D14;N;40
13-11-2007;21:00:00;Tue;D5;N;70
13-11-2007;21:00:00;Tue;D6;S;86
13-11-2007;21:00:00;Tue;D7;N;79
13-11-2007;21:00:00;Tue;D8;S;95
13-11-2007;21:00:00;Tue;D15;S;56
13-11-2007;21:00:00;Tue;D18;N;77
13-11-2007;21:15:00;Tue;D3;S;30
13-11-2007;21:15:00;Tue;D4;S;55
13-11-2007;21:15:00;Tue;D13;N;45
13-11-2007;21:15:00;Tue;D14;N;27
13-11-2007;21:15:00;Tue;D5;N;58
13-11-2007;21:15:00;Tue;D6;S;70
13-11-2007;21:15:00;Tue;D7;N;63
13-11-2007;21:15:00;Tue;D8;S;78
13-11-2007;21:15:00;Tue;D15;S;53
13-11-2007;21:15:00;Tue;D18;N;67
13-11-2007;21:30:00;Tue;D3;S;46
13-11-2007;21:30:00;Tue;D4;S;78
13-11-2007;21:30:00;Tue;D13;N;65
13-11-2007;21:30:00;Tue;D14;N;48
13-11-2007;21:30:00;Tue;D5;N;62
13-11-2007;21:30:00;Tue;D6;S;67
13-11-2007;21:30:00;Tue;D7;N;79
13-11-2007;21:30:00;Tue;D8;S;77
13-11-2007;21:30:00;Tue;D15;S;63
13-11-2007;21:30:00;Tue;D18;N;88
13-11-2007;21:45:00;Tue;D3;S;52
13-11-2007;21:45:00;Tue;D4;S;79
13-11-2007;21:45:00;Tue;D13;N;55
13-11-2007;21:45:00;Tue;D14;N;50
13-11-2007;21:45:00;Tue;D5;N;62
13-11-2007;21:45:00;Tue;D6;S;83
13-11-2007;21:45:00;Tue;D7;N;75
13-11-2007;21:45:00;Tue;D8;S;87
13-11-2007;21:45:00;Tue;D15;S;56
13-11-2007;21:45:00;Tue;D18;N;71
13-11-2007;22:00:00;Tue;D3;S;44
13-11-2007;22:00:00;Tue;D4;S;74
13-11-2007;22:00:00;Tue;D13;N;46
13-11-2007;22:00:00;Tue;D14;N;37
13-11-2007;22:00:00;Tue;D5;N;60
13-11-2007;22:00:00;Tue;D6;S;73
13-11-2007;22:00:00;Tue;D7;N;87
13-11-2007;22:00:00;Tue;D8;S;71
13-11-2007;22:00:00;Tue;D15;S;58
13-11-2007;22:00:00;Tue;D18;N;82
13-11-2007;22:15:00;Tue;D3;S;37
13-11-2007;22:15:00;Tue;D4;S;68
13-11-2007;22:15:00;Tue;D13;N;40
13-11-2007;22:15:00;Tue;D14;N;43
13-11-2007;22:15:00;Tue;D5;N;72
13-11-2007;22:15:00;Tue;D6;S;79
13-11-2007;22:15:00;Tue;D7;N;94
13-11-2007;22:15:00;Tue;D8;S;92
13-11-2007;22:15:00;Tue;D15;S;71
13-11-2007;22:15:00;Tue;D18;N;83
13-11-2007;22:30:00;Tue;D3;S;37
13-11-2007;22:30:00;Tue;D4;S;52
13-11-2007;22:30:00;Tue;D13;N;38
13-11-2007;22:30:00;Tue;D14;N;42
13-11-2007;22:30:00;Tue;D5;N;70
13-11-2007;22:30:00;Tue;D6;S;68
13-11-2007;22:30:00;Tue;D7;N;83
13-11-2007;22:30:00;Tue;D8;S;78
13-11-2007;22:30:00;Tue;D15;S;50
13-11-2007;22:30:00;Tue;D18;N;84
13-11-2007;22:45:00;Tue;D3;S;49
13-11-2007;22:45:00;Tue;D4;S;47
13-11-2007;22:45:00;Tue;D13;N;49
13-11-2007;22:45:00;Tue;D14;N;42
13-11-2007;22:45:00;Tue;D5;N;49
13-11-2007;22:45:00;Tue;D6;S;48
13-11-2007;22:45:00;Tue;D7;N;46
13-11-2007;22:45:00;Tue;D8;S;57
13-11-2007;22:45:00;Tue;D15;S;57
13-11-2007;22:45:00;Tue;D18;N;53
13-11-2007;23:00:00;Tue;D3;S;49
13-11-2007;23:00:00;Tue;D4;S;50
13-11-2007;23:00:00;Tue;D13;N;52
13-11-2007;23:00:00;Tue;D14;N;38
13-11-2007;23:00:00;Tue;D5;N;56
13-11-2007;23:00:00;Tue;D6;S;55
13-11-2007;23:00:00;Tue;D7;N;65
13-11-2007;23:00:00;Tue;D8;S;49
13-11-2007;23:00:00;Tue;D15;S;59
13-11-2007;23:00:00;Tue;D18;N;66
13-11-2007;23:15:00;Tue;D3;S;34
13-11-2007;23:15:00;Tue;D4;S;58
13-11-2007;23:15:00;Tue;D13;N;45
13-11-2007;23:15:00;Tue;D14;N;37
13-11-2007;23:15:00;Tue;D5;N;64
13-11-2007;23:15:00;Tue;D6;S;57
13-11-2007;23:15:00;Tue;D7;N;69
13-11-2007;23:15:00;Tue;D8;S;64
13-11-2007;23:15:00;Tue;D15;S;46
13-11-2007;23:15:00;Tue;D18;N;60
13-11-2007;23:30:00;Tue;D3;S;40
13-11-2007;23:30:00;Tue;D4;S;48
13-11-2007;23:30:00;Tue;D13;N;35
13-11-2007;23:30:00;Tue;D14;N;44
13-11-2007;23:30:00;Tue;D5;N;50
13-11-2007;23:30:00;Tue;D6;S;35
13-11-2007;23:30:00;Tue;D7;N;51
13-11-2007;23:30:00;Tue;D8;S;34
13-11-2007;23:30:00;Tue;D15;S;24
13-11-2007;23:30:00;Tue;D18;N;54
13-11-2007;23:45:00;Tue;D3;S;36
13-11-2007;23:45:00;Tue;D4;S;58
13-11-2007;23:45:00;Tue;D13;N;30
13-11-2007;23:45:00;Tue;D14;N;27
13-11-2007;23:45:00;Tue;D5;N;46
13-11-2007;23:45:00;Tue;D6;S;56
13-11-2007;23:45:00;Tue;D7;N;45
13-11-2007;23:45:00;Tue;D8;S;52
13-11-2007;23:45:00;Tue;D15;S;29
13-11-2007;23:45:00;Tue;D18;N;57
14-11-2007;00:00:00;Wed;D3;S;28
14-11-2007;00:00:00;Wed;D4;S;31
14-11-2007;00:00:00;Wed;D13;N;21
14-11-2007;00:00:00;Wed;D14;N;19
14-11-2007;00:00:00;Wed;D5;N;30
14-11-2007;00:00:00;Wed;D6;S;29
14-11-2007;00:00:00;Wed;D7;N;33
14-11-2007;00:00:00;Wed;D8;S;36
